caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
2003-034,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-035,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-039,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-044,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-047,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2003-048,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-050,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-051,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-053,,,0.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-054,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-057,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-058,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2003-059,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-060,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-062,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-064,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-065,,,0.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-069,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-072,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-073,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-074,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,
2003-075,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-077,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-078,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2003-079,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-080,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,0.0,,,,,,,0.0,,
2003-081,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-082,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2003-083,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-084,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-085,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2003-086,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2003-087,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2003-088,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2003-090,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,0.0,,,,,,,0.0,,
2003-091,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-003,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-006,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-008,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2004-009,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-011,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-014,,,1.0,0.0,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-016,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-017,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,0.0,,
2004-018,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-021,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,0.0,,
2004-022,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-024,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2004-027,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,0.0,,,,,,,0.0,,
2004-028,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-029,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-032,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,0.0,,
2004-033,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-034,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-035,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-038,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2004-041,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2004-042,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-043,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2004-044,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-045,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2004-047,,,0.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-048,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2004-049,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-050,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,0.0,,,,,,,1.0,,
2004-053,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-054,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2004-055,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-056,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2004-057,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-061,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-064,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2004-065,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-066,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2004-069,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,0.0,,
2004-070,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-071,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,
2004-073,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-074,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2004-075,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,1.0,,,,,,,1.0,,
2004-076,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2004-077,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2004-078,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2004-080,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2005-007,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,0.0,,,1.0,,0.0,,,,,,,,,
2005-011,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,,,
2005-015,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-017,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,,,
2005-018,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-019,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-023,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-024,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-026,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
2005-027,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-028,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-032,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-033,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-034,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-035,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-036,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-037,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-038,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-039,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-040,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-041,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-042,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-047,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-048,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-049,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,
2005-057,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2005-058,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2005-061,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-063,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-065,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2005-067,,,0.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-068,,,0.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,0.0,,,,,,,,,
2005-069,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2005-071,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-073,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-074,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2005-076,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2005-077,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,0.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-078,,,0.0,1.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-079,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2005-080,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2005-081,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2005-082,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-083,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2005-084,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-085,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,0.0,,,1.0,,,,,,,,,
2005-086,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2005-087,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-002,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-003,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-006,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2006-007,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-008,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-013,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-014,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,0.0,,,,,,,,,
2006-016,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-017,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2006-018,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-019,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-024,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-025,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,0.0,,,1.0,,,,,,,,,
2006-026,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-028,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-029,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-030,,,1.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-031,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-033,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-035,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-036,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-037,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-040,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-041,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-043,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-044,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-045,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2006-046,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2006-048,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-049,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-055,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-060,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2006-061,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-062,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2006-064,,,0.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-066,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-067,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2006-068,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-069,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-070,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2006-071,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-072,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-073,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-074,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2006-075,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2007-001,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,
2007-005,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2007-007,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,0.0,,,1.0,,,,,,,,,
2007-010,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2007-011,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2007-014,,,0.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2007-016,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,0.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2007-017,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,0.0,,1.0,,,1.0,,,,,,,,,
2007-018,,,1.0,1.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2007-021,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2007-023,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,,,,,,,,,
2007-024,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2007-025,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
2007-026,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,1.0,,1.0,,,,,0.0,,1.0,,,0.0,,,,,,,,,
2007-027,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,1.0,,,0.0,,,,,,,,,
2007-028,,,1.0,0.0,,,,1.0,1.0,,,,,,,,,1.0,,0.0,,,,,1.0,,0.0,,,0.0,,,,,,,,,
