caseId,ACBarrett,AFortas,AMKennedy,AScalia,BMKavanaugh,BRWhite,CEWhittaker,CThomas,DHSouter,EKagan,EWarren,FFrankfurter,FMVinson,FMurphy,HABlackmun,HHBurton,HLBlack,JGRoberts,JHarlan2,JPStevens,KBJackson,LFPowell,NMGorsuch,PStewart,RBGinsburg,RHJackson,SAAlito,SDOConnor,SFReed,SGBreyer,SMinton,SSotomayor,TCClark,TMarshall,WBRutledge,WEBurger,WHRehnquist,WJBrennan,WODouglas
2000-044,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,
2000-045,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-046,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-048,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,0.0,,,1.0,,1.0,,,,,,,1.0,,
2000-049,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2000-050,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,0.0,,,,,,,1.0,,
2000-052,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
2000-053,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,,1.0,,,,,,,1.0,,
2000-055,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-057,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2000-058,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,,1.0,,0.0,,,,,,,1.0,,
2000-060,,,1.0,1.0,,,,1.0,0.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,
2000-064,,,1.0,0.0,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,0.0,,
